"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) Sample 2","#Peptides","Area Sample 2","#Unique","#Spec Sample 2","PTM","Average Mass","Description"
54,true,"G4WFQ2|SCXND_MESEU",348.02658,76.71,76.71,19,2.5183668E7,4,37.0,"Carbamidomethylation; Deamidation (NQ)",8081.1016,"Sodium channel neurotoxin MeuNaTxalpha-13 (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
248,false,"A0A2I9LP56|A0A2I9LP56_9SCOR",104.95598,6.92,6.92,1,207751.77,1,2.0,"",17330.326,"Methyltransferase-like protein OS=Centruroides hentzi OX=88313 PE=4 SV=1"
234,false,"F1CJ51|F1CJ51_HOTJU",83.6017,4.19,4.19,1,,1,1.0,"",17892.566,"glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
203,true,"A0A088DB32|A0A088DB32_MESEU",207.65683,51.61,51.61,4,578479.4,1,11.0,"Carbamidomethylation; Deamidation (NQ)",6821.0254,"Potassium channel blocker pMeKTx6-2 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
325,false,"A0A0K0LCP5|A0A0K0LCP5_9SCOR",96.05244,14.47,14.47,1,723950.2,1,1.0,"",8371.655,"Venom protein AbVp-2 (Fragment) OS=Androctonus bicolor OX=748906 PE=2 SV=1"
178,false,"A0A1W7RB61|A0A1W7RB61_9SCOR",188.12544,7.62,7.62,4,172257.25,1,4.0,"Carbamidomethylation",46585.28,"Enolase OS=Hadrurus spadix OX=141984 PE=3 SV=1"
114,false,"D8UWD2|D8UWD2_MESEU",274.28564,75.68,75.68,7,4.3225224E7,7,17.0,"Carbamidomethylation; Deamidation (NQ)",8346.367,"Venom sodium channel toxin 3 (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
68,true,"A0A1W7RAC4|A0A1W7RAC4_9SCOR",361.91962,31.22,31.22,17,175808.6,2,24.0,"Deamidation (NQ); Carbamidomethylation",70942.17,"Heat shock 70 kDa protein OS=Hadrurus spadix OX=141984 PE=3 SV=1"
34,false,"F1CIW9|F1CIW9_HOTJU",49.448826,11.11,11.11,1,,1,1.0,"",6249.4243,"U9-buthitoxin-Hj1a (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
190,true,"A0A088D9T6|A0A088D9T6_MESEU",207.76958,29.51,29.51,6,7.38006E7,6,8.0,"Carbamidomethylation",7176.513,"Potassium channel blocker pMeKTx24-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
